apellido1,apellido2,nivel,nombre,name
GUERECA,TORRES,1,EVA,"GUERECA TORRES, EVA"
LOPEZ,MORENO,1,IGNACIO,"LOPEZ MORENO, IGNACIO"
DE LEON,CALDERON,C,ALMA,"DE LEON CALDERON, ALMA"
VELASCO,BELMONT,3,ROSA,"VELASCO BELMONT, ROSA"
PIÑA,GARZA,3,EDUARDO,"PIÑA GARZA, EDUARDO"
CRUZ,JIMENEZ,3,SALVADOR,"CRUZ JIMENEZ, SALVADOR"
GAZQUEZ,MATEOS,3,JOSE,"GAZQUEZ MATEOS, JOSE"
GALVAN,ESPINOSA,3,MARCELO,"GALVAN ESPINOSA, MARCELO"
ROJAS,GONZALEZ,3,FERNANDO,"ROJAS GONZALEZ, FERNANDO"
KORNHAUSER,STRAUS,1,ISAAC,"KORNHAUSER STRAUS, ISAAC"
WILSON,ROBERTS,3,RICHARD,"WILSON ROBERTS, RICHARD"
URIBE,SANCHEZ,1,FRANCISCO,"URIBE SANCHEZ, FRANCISCO"
AZORIN,NIETO,3,JUAN,"AZORIN NIETO, JUAN"
PIMENTEL,RICO,3,LUIS,"PIMENTEL RICO, LUIS"
WAWRZYÑCZYK,WILKIEWICZ,3,ANTONI,"WAWRZYÑCZYK WILKIEWICZ, ANTONI"
CORTES,REYNA,1,EMILIO,"CORTES REYNA, EMILIO"
SALINAS,BARRIOS,1,ELIZABETH,"SALINAS BARRIOS, ELIZABETH"
CHAPELA,CASTAÑARES,2,GUSTAVO,"CHAPELA CASTAÑARES, GUSTAVO"
SAAVEDRA,BARRERA,1,PATRICIA,"SAAVEDRA BARRERA, PATRICIA"
DEL RIO,HAZA,3,FERNANDO,"DEL RIO HAZA, FERNANDO"
MORALES,RIVAS,2,JESUS,"MORALES RIVAS, JESUS"
POULAIN,GARCIA,2,ENRIQUE,"POULAIN GARCIA, ENRIQUE"
VIVIER,JEGOUX,3,ANA,"VIVIER JEGOUX, ANA"
VERDE,STAR,3,LUIS,"VERDE STAR, LUIS"
CAMPERO,CELIS,3,ANTONIO,"CAMPERO CELIS, ANTONIO"
FERNANDEZ,GUASTI,2,MANUEL,"FERNANDEZ GUASTI, MANUEL"
DE LA SELVA,MONROY,1,SARA,"DE LA SELVA MONROY, SARA"
ALEJANDRE,RAMIREZ,3,J.,"ALEJANDRE RAMIREZ, J."
JIMENEZ,RAMIREZ,2,JOSE,"JIMENEZ RAMIREZ, JOSE"
ESQUIVEL,OLEA,3,RODOLFO,"ESQUIVEL OLEA, RODOLFO"
RUIZ DE CHAVEZ,SOMOZA,2,JUAN,"RUIZ DE CHAVEZ SOMOZA, JUAN"
TAPIA,RECILLAS,3,HORACIO,"TAPIA RECILLAS, HORACIO"
VILLA,Y VILLA,2,MARIA,"VILLA Y VILLA, MARIA"
ESQUIVEL,AVILA,2,JORGE,"ESQUIVEL AVILA, JORGE"
PEREYRA,PADILLA,3,PEDRO,"PEREYRA PADILLA, PEDRO"
ARREDONDO,RUIZ,1,JUAN,"ARREDONDO RUIZ, JUAN"
RIVERA,CAMPO,3,EDUARDO,"RIVERA CAMPO, EDUARDO"
DELGADO,FERNANDEZ,3,JOAQUIN,"DELGADO FERNANDEZ, JOAQUIN"
HARO,PONIATOWSKI,3,EMMANUEL,"HARO PONIATOWSKI, EMMANUEL"
ROBLEDO,MARTINEZ,2,ARTURO,"ROBLEDO MARTINEZ, ARTURO"
ROJAS,HERNANDEZ,3,ALBERTO,"ROJAS HERNANDEZ, ALBERTO"
DIAZ,HERRERA,2,JESUS,"DIAZ HERRERA, JESUS"
DEL RIO,CORREA,2,JOSE,"DEL RIO CORREA, JOSE"
MENDEZ,RUIZ,3,FRANCISCO,"MENDEZ RUIZ, FRANCISCO"
MUGICA,ALVAREZ,2,VIOLETA,"MUGICA ALVAREZ, VIOLETA"
CEDILLO,ORTIZ,2,JOSE,"CEDILLO ORTIZ, JOSE"
SALAS,BRITO,2,ALVARO,"SALAS BRITO, ALVARO"
CALDIÑO,GARCIA,3,ULISES,"CALDIÑO GARCIA, ULISES"
SIGNORET,POILLON,1,CARLOS,"SIGNORET POILLON, CARLOS"
IBARRA,VALDEZ,1,CARLOS,"IBARRA VALDEZ, CARLOS"
JIMENEZ,AQUINO,2,JOSE,"JIMENEZ AQUINO, JOSE"
QUEZADA,BATALLA,3,ROBERTO,"QUEZADA BATALLA, ROBERTO"
NUÑEZ,YEPEZ,2,HILDA,"NUÑEZ YEPEZ, HILDA"
RESENDIS,OCAMPO,2,LINO,"RESENDIS OCAMPO, LINO"
SOLIS,DAUN,1,JULIO,"SOLIS DAUN, JULIO"
CAMACHO,QUINTANA,2,ABEL,"CAMACHO QUINTANA, ABEL"
MACIAS,ALVAREZ,3,ALFREDO,"MACIAS ALVAREZ, ALFREDO"
MONTES DE OCA,MACHORRO,3,JOSE,"MONTES DE OCA MACHORRO, JOSE"
PALACIOS,FABILA,1,MARIA,"PALACIOS FABILA, MARIA"
PEÑA,GIL,2,JOSE,"PEÑA GIL, JOSE"
GARZA,OLGUIN,3,JORGE,"GARZA OLGUIN, JORGE"
BERTIN,MARDEL,3,VIRINEYA,"BERTIN MARDEL, VIRINEYA"
ANZALDO,MENESES,1,ALFONSO,"ANZALDO MENESES, ALFONSO"
MORALES,TECOTL,3,HUGO,"MORALES TECOTL, HUGO"
SOSA,FONSECA,1,REBECA,"SOSA FONSECA, REBECA"
GORDIENKO,sin apellido Materno,3,EVGUENI,"GORDIENKO sin apellido Materno, EVGUENI"
TKATCHOUK,VLADIMIROVICH,3,VLADIMIR,"TKATCHOUK VLADIMIROVICH, VLADIMIR"
TKATCHENKO,sin apellido Materno,3,MIKHAIL,"TKATCHENKO sin apellido Materno, MIKHAIL"
PAEZ,HERNANDEZ,1,RICARDO,"PAEZ HERNANDEZ, RICARDO"
BAEZ,JUAREZ,1,MARIA,"BAEZ JUAREZ, MARIA"
MIELKE,sin apellido Materno,3,ECKEHARD,"MIELKE sin apellido Materno, ECKEHARD"
AGUIRRE,HERNANDEZ,1,BALTAZAR,"AGUIRRE HERNANDEZ, BALTAZAR"
BASURTO,URIBE,1,EDUARDO,"BASURTO URIBE, EDUARDO"
GUTIERREZ,MENDIETA,1,FRANCISCO,"GUTIERREZ MENDIETA, FRANCISCO"
ALVAREZ,RAMIREZ,2,MARTHA,"ALVAREZ RAMIREZ, MARTHA"
SENTIES,GRANADOS,2,ABEL,"SENTIES GRANADOS, ABEL"
FERNANDEZ ALONSO,GONZALEZ,2,ROGELIO,"FERNANDEZ ALONSO GONZALEZ, ROGELIO"
GARCIA,RODRIGUEZ,1,JOSE,"GARCIA RODRIGUEZ, JOSE"
LLANO,PEREZ,1,BERNARDO,"LLANO PEREZ, BERNARDO"
SAGAR,sin apellido Materno,3,ROBIN,"SAGAR sin apellido Materno, ROBIN"
NOVIKOV,sin apellido Materno,2,ANDREI,"NOVIKOV sin apellido Materno, ANDREI"
DAGDUG,LIMA,3,LEONARDO,"DAGDUG LIMA, LEONARDO"
CRUZ,BELLO,1,GUSTAVO,"CRUZ BELLO, GUSTAVO"
PICQUART,sin apellido Materno,2,MICHEL,"PICQUART sin apellido Materno, MICHEL"
ESCARELA,PEREZ,2,GABRIEL,"ESCARELA PEREZ, GABRIEL"
ZAMORA,RAMOS,1,ADOLFO,"ZAMORA RAMOS, ADOLFO"
SANTIAGO,GARCIA,1,JOSE,"SANTIAGO GARCIA, JOSE"
GALANO,JIMENEZ,3,ANNIA,"GALANO JIMENEZ, ANNIA"
PIZAÑA,LOPEZ,2,MIGUEL,"PIZAÑA LOPEZ, MIGUEL"
RAMIREZ,ROJAS,2,ALEJANDRO,"RAMIREZ ROJAS, ALEJANDRO"
JUAREZ,VALENCIA,2,LORENZO,"JUAREZ VALENCIA, LORENZO"
KUNOLD,BELLO,2,ALEJANDRO,"KUNOLD BELLO, ALEJANDRO"
ODRIOZOLA,PREGO,2,GERARDO,"ODRIOZOLA PREGO, GERARDO"
CORDERO,SANCHEZ,2,SALOMON,"CORDERO SANCHEZ, SALOMON"
HERNANDEZ,SALDAÑA,1,HUGO,"HERNANDEZ SALDAÑA, HUGO"
RAMIREZ,RODRIGUEZ,1,JAVIER,"RAMIREZ RODRIGUEZ, JAVIER"
LINARES,ROMERO,2,ROMAN,"LINARES ROMERO, ROMAN"
MARTINEZ,MARES,2,MOISES,"MARTINEZ MARES, MOISES"
ZARAGOZA,MARTINEZ,1,FRANCISCO,"ZARAGOZA MARTINEZ, FRANCISCO"
CAMPOS,TERAN,1,JOSE,"CAMPOS TERAN, JOSE"
HOYOS,REYES,1,LUIS,"HOYOS REYES, LUIS"
DIAZ,LEYVA,1,PEDRO,"DIAZ LEYVA, PEDRO"
TAPIA,SILVA,1,FELIPE,"TAPIA SILVA, FELIPE"
LOPEZ,GARZA,1,GABRIEL,"LOPEZ GARZA, GABRIEL"
GONZALEZ,GARCIA,2,FEDERICO,"GONZALEZ GARCIA, FEDERICO"
OLSEN,sin apellido Materno,1,MIKA,"OLSEN sin apellido Materno, MIKA"
GONZALEZ,GAXIOLA,1,OSWALDO,"GONZALEZ GAXIOLA, OSWALDO"
GONZALEZ,PEREZ,1,PEDRO,"GONZALEZ PEREZ, PEDRO"
GUZMAN,LOPEZ,2,ORLANDO,"GUZMAN LOPEZ, ORLANDO"
LOPEZ,PEREZ,2,RAMON,"LOPEZ PEREZ, RAMON"
NAVARRO,FUENTES,1,JAIME,"NAVARRO FUENTES, JAIME"
HERRERA,ALCANTARA,1,OSCAR,"HERRERA ALCANTARA, OSCAR"
GARCIA,PERCIANTE,2,ANA,"GARCIA PERCIANTE, ANA"
CERVINI,SILVA,2,JAVIERA,"CERVINI SILVA, JAVIERA"
ALAS,GUARDADO,1,SALOMON,"ALAS GUARDADO, SALOMON"
MEDINA,VALDEZ,1,MARIO,"MEDINA VALDEZ, MARIO"
HARO,PEREZ,1,CATALINA,"HARO PEREZ, CATALINA"
BULIT,GAMEZ,1,CELIA,"BULIT GAMEZ, CELIA"
ORTIZ,SALINAS,1,RUTILIO,"ORTIZ SALINAS, RUTILIO"
BAEZ,JUAREZ,1,ELSA,"BAEZ JUAREZ, ELSA"
MENDEZ,RODRIGUEZ,1,ALMA,"MENDEZ RODRIGUEZ, ALMA"
DIAZ,LARREA,1,JHOANA,"DIAZ LARREA, JHOANA"
ESPARZA,SCHULZ,1,JUAN,"ESPARZA SCHULZ, JUAN"
MACEDA,SANTAMARIA,1,MARCO,"MACEDA SANTAMARIA, MARCO"
NAVARRETE,LOPEZ,1,ALEJANDRA,"NAVARRETE LOPEZ, ALEJANDRA"
SOBRINO,FIGUEROA,1,ALMA,"SOBRINO FIGUEROA, ALMA"
ROMERO,SANPEDRO,2,JUAN,"ROMERO SANPEDRO, JUAN"
FRANCO,PEREZ,1,LUIS,"FRANCO PEREZ, LUIS"
BERNAL,JAQUEZ,1,ROBERTO,"BERNAL JAQUEZ, ROBERTO"
GONZALEZ,MORENO,1,DIEGO,"GONZALEZ MORENO, DIEGO"
RINCON,GARCIA,1,ERIC,"RINCON GARCIA, ERIC"
MORENO,RAZO,2,JOSE,"MORENO RAZO, JOSE"
SANCHEZ,GARCIA,1,RODRIGO,"SANCHEZ GARCIA, RODRIGO"
OLVERA,NERIA,1,OSCAR,"OLVERA NERIA, OSCAR"
MUÑOZ,HERNANDEZ,1,GERARDO,"MUÑOZ HERNANDEZ, GERARDO"
LOPEZ,MONSALVO,1,CESAR,"LOPEZ MONSALVO, CESAR"
CRUZ,BARRIGUETE,1,VICTOR,"CRUZ BARRIGUETE, VICTOR"
CHACON,ACOSTA,1,GUILLERMO,"CHACON ACOSTA, GUILLERMO"
JUAREZ,ANGUIANO,1,HUGO,"JUAREZ ANGUIANO, HUGO"
RAMOS,SANCHEZ,1,GUADALUPE,"RAMOS SANCHEZ, GUADALUPE"
COLIN,RODRIGUEZ,1,RICARDO,"COLIN RODRIGUEZ, RICARDO"
MORA,GUTIERREZ,1,ROMAN,"MORA GUTIERREZ, ROMAN"
ZALDIVAR,CRUZ,1,FELIPE,"ZALDIVAR CRUZ, FELIPE"
NUÑEZ,ANTONIO,1,GABRIEL,"NUÑEZ ANTONIO, GABRIEL"
SANDOVAL,ESPINOZA,1,MARIO,"SANDOVAL ESPINOZA, MARIO"
LOREDO,VILLALOBOS,C,CARLOS,"LOREDO VILLALOBOS, CARLOS"
HERNANDEZ,GUTIERREZ,1,RODRIGO,"HERNANDEZ GUTIERREZ, RODRIGO"
NUÑEZ,ROJAS,1,EDGAR,"NUÑEZ ROJAS, EDGAR"
DIAZ,GARCIA,C,CECILIA,"DIAZ GARCIA, CECILIA"
DIAMANT,ADLER,C,RUTH,"DIAMANT ADLER, RUTH"
GOMEZ,BERNAL,C,JUAN,"GOMEZ BERNAL, JUAN"
OLIVARES,PILON,1,HORACIO,"OLIVARES PILON, HORACIO"
HEREDIA,VELASCO,1,MARCO,"HEREDIA VELASCO, MARCO"
LAGUNA,GALINDO,1,HUMBERTO,"LAGUNA GALINDO, HUMBERTO"
PINEDA,CALDERON,1,INTI,"PINEDA CALDERON, INTI"
SANCHEZ,ROMERO,1,IVAN,"SANCHEZ ROMERO, IVAN"
SIGALOTTI,DIAZ,2,LEONARDO,"SIGALOTTI DIAZ, LEONARDO"
GAVITO,TICOZZI,C,SILVIA,"GAVITO TICOZZI, SILVIA"
ESPINDOLA,HEREDIA,C,RODOLFO,"ESPINDOLA HEREDIA, RODOLFO"
HERNANDEZ,MORENO,C,ADOLFO,"HERNANDEZ MORENO, ADOLFO"
VALLE,HERNANDEZ,C,BRENDA,"VALLE HERNANDEZ, BRENDA"
YEPEZ,MARTINEZ,1,MIZTLI,"YEPEZ MARTINEZ, MIZTLI"
ARENAS,GOMEZ,C,BRISA,"ARENAS GOMEZ, BRISA"
GARCIA,CHUNG,C,ANGEL,"GARCIA CHUNG, ANGEL"
HIDALGO,MORENO,1,FRANCISCO,"HIDALGO MORENO, FRANCISCO"
DRECKMANN,ESTAY,1,KURT,"DRECKMANN ESTAY, KURT"
MELENDEZ,SANCHEZ,1,JOSUE,"MELENDEZ SANCHEZ, JOSUE"
BOLAÑOS,SERVIN,1,JORGE,"BOLAÑOS SERVIN, JORGE"
CERVANTES,CABRERA,C,DALIA,"CERVANTES CABRERA, DALIA"
COSME,ALVAREZ,C,JOSE,"COSME ALVAREZ, JOSE"
CASTAÑEDA,VALLE,C,DAVID,"CASTAÑEDA VALLE, DAVID"
GUERRERO,POBLETE,C,FERNANDO,"GUERRERO POBLETE, FERNANDO"
GOLDFEDER,ORTIZ,C,ILAN,"GOLDFEDER ORTIZ, ILAN"
ROMERO,OCHOA,C,RICARDO,"ROMERO OCHOA, RICARDO"
LEON,VELASCO,C,DIANA,"LEON VELASCO, DIANA"
CAMPOS,CORDERO,C,JUDITH,"CAMPOS CORDERO, JUDITH"
MAGAÑA,ZAPATA,C,JANETH,"MAGAÑA ZAPATA, JANETH"
FLORES,PEDROCHE,1,JOSE,"FLORES PEDROCHE, JOSE"
DOMINGUEZ,MARIANI,1,ELOISA,"DOMINGUEZ MARIANI, ELOISA"
VILLAVICENCIO,PULIDO,1,JOSE,"VILLAVICENCIO PULIDO, JOSE"
REYES,GUTIERREZ,1,LAZARO,"REYES GUTIERREZ, LAZARO"
REYES,MERCADO,2,YURI,"REYES MERCADO, YURI"
VELAZQUEZ,DELGADO,2,JORGE,"VELAZQUEZ DELGADO, JORGE"
SERRANO,GOMEZ,2,ENRIQUE,"SERRANO GOMEZ, ENRIQUE"
RENDON,ALARCON,2,JORGE,"RENDON ALARCON, JORGE"
