ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO,TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO,PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO
1569432699,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15101.9,13317.3,PESOS,MENSUAL
1569432794,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,14408.04,12771.65,PESOS,MENSUAL
1569432796,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12727.28,11427.39,PESOS,MENSUAL
1569432888,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,19158.3,16507.25,PESOS,MENSUAL
1569432888,24/06/2022,24/06/2022,ZONA GEOGRAFICA,7298.4,6778.31,PESOS,MENSUAL
1569432891,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4375.66,4124.49,PESOS,MENSUAL
1569432891,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10393,10393,PESOS,MENSUAL
1569432975,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,17411.94,15133.91,PESOS,MENSUAL
1569432977,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16949.7,14770.41,PESOS,MENSUAL
1569432980,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,19419.8,16712.89,PESOS,MENSUAL
1569433062,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12933.02,11596.26,PESOS,MENSUAL
1569433062,24/06/2022,24/06/2022,COMPLEMENTARIOS,1142.1,1097.88,PESOS,MENSUAL
1569433064,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,7189.66,6681.4,PESOS,MENSUAL
1569433147,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,18121.16,15691.64,PESOS,MENSUAL
1569433147,24/06/2022,24/06/2022,COMPLEMENTARIOS,1511.56,1443.69,PESOS,MENSUAL
1569433149,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8211.14,7591.75,PESOS,MENSUAL
1569433149,24/06/2022,24/06/2022,COMPLEMENTARIOS,725.4,707.85,PESOS,MENSUAL
1569433228,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,7549.5,7002.09,PESOS,MENSUAL
1569433231,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,6792.16,6327.15,PESOS,MENSUAL
1569433290,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4855.82,4573.92,PESOS,MENSUAL
1569433292,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,18793.36,16220.26,PESOS,MENSUAL
1569433382,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,241.28,236.65,PESOS,MENSUAL
1569433382,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433384,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15889.94,13937.01,PESOS,MENSUAL
1569433464,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,7836.96,7258.28,PESOS,MENSUAL
1569433464,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,12472,12472,PESOS,MENSUAL
1569433466,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1248.84,1197.79,PESOS,MENSUAL
1569433466,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433547,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4482.6,4224.59,PESOS,MENSUAL
1569433547,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,15194,15194,PESOS,MENSUAL
1569433550,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12826,11508.42,PESOS,MENSUAL
1569433550,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,18234,18234,PESOS,MENSUAL
1569433634,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8853.16,8163.91,PESOS,MENSUAL
1569433636,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,40304.84,32849.26,PESOS,MENSUAL
1569433636,24/06/2022,24/06/2022,ZONA GEOGRAFICA,15883.68,13932.09,PESOS,MENSUAL
1569433721,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1094.92,1053.72,PESOS,MENSUAL
1569433721,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433724,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12224.82,11014.97,PESOS,MENSUAL
1569433807,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12528.9,11264.56,PESOS,MENSUAL
1569433809,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,19869,17066.15,PESOS,MENSUAL
1569433809,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,24157,24157,PESOS,MENSUAL
1569433812,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,2845.54,2692.3,PESOS,MENSUAL
1569433940,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13018.94,11666.79,PESOS,MENSUAL
1569433943,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,874.64,847.54,PESOS,MENSUAL
1569433943,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569434031,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11906.16,10753.42,PESOS,MENSUAL
1569434033,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11906.16,10753.42,PESOS,MENSUAL
1569434150,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12837.06,11517.5,PESOS,MENSUAL
1569434153,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,3542.76,3344.9,PESOS,MENSUAL
1569434156,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,10946.78,9961.54,PESOS,MENSUAL
1569431593,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13420.46,11995.01,PESOS,MENSUAL
1569431593,24/06/2022,24/06/2022,COMPLEMENTARIOS,774.62,753.92,PESOS,MENSUAL
1569431596,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,22730.4,19316.35,PESOS,MENSUAL
1569431596,24/06/2022,24/06/2022,COMPLEMENTARIOS,1524.6,1455.9,PESOS,MENSUAL
1569431596,24/06/2022,24/06/2022,ZONA GEOGRAFICA,7436.4,6901.3,PESOS,MENSUAL
1569431599,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,6495.06,6062.37,PESOS,MENSUAL
1569431702,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,20046.24,17205.53,PESOS,MENSUAL
1569431705,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,31908.5,26427.74,PESOS,MENSUAL
1569431705,24/06/2022,24/06/2022,ZONA GEOGRAFICA,11050.56,10048.72,PESOS,MENSUAL
1569431803,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,7258.24,6742.52,PESOS,MENSUAL
1569431805,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,20991.94,17949.23,PESOS,MENSUAL
1569431805,24/06/2022,24/06/2022,COMPLEMENTARIOS,1451.1,1387.1,PESOS,MENSUAL
1569431805,24/06/2022,24/06/2022,ZONA GEOGRAFICA,7082.52,6585.92,PESOS,MENSUAL
1569431901,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,2549.24,2414.96,PESOS,MENSUAL
1569431901,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,8370,8370,PESOS,MENSUAL
1569431904,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15959.44,13991.67,PESOS,MENSUAL
1569431904,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,12472,12472,PESOS,MENSUAL
1569432001,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1791.18,1705.42,PESOS,MENSUAL
1569432004,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1788,1702.44,PESOS,MENSUAL
1569432004,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,6617,6617,PESOS,MENSUAL
1569432006,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,7388.26,6858.39,PESOS,MENSUAL
1569432006,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,44804,44804,PESOS,MENSUAL
1569432110,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16664.16,14545.86,PESOS,MENSUAL
1569432113,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1289.12,1235.49,PESOS,MENSUAL
1569432113,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569432198,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,17496.48,15200.4,PESOS,MENSUAL
1569432200,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,5017.36,4725.12,PESOS,MENSUAL
1569432200,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,44392,44392,PESOS,MENSUAL
1569432274,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4944.8,4657.21,PESOS,MENSUAL
1569432274,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,21482,21482,PESOS,MENSUAL
1569432277,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4260.06,4016.29,PESOS,MENSUAL
1569432277,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,11800,11800,PESOS,MENSUAL
1569432360,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12079.2,10895.45,PESOS,MENSUAL
1569432360,24/06/2022,24/06/2022,COMPLEMENTARIOS,807.6,784.79,PESOS,MENSUAL
1569432362,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16664.16,14545.86,PESOS,MENSUAL
1569432439,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8363.16,7727.23,PESOS,MENSUAL
1569432439,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,15275,15275,PESOS,MENSUAL
1569432442,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4516.8,4256.6,PESOS,MENSUAL
1569432442,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10393,10393,PESOS,MENSUAL
1569432527,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,14846.98,13116.83,PESOS,MENSUAL
1569432530,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13954.08,12414.65,PESOS,MENSUAL
1569432530,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10544,10544,PESOS,MENSUAL
1569432607,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12996.06,11648.01,PESOS,MENSUAL
1569432609,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,2787.68,2638.14,PESOS,MENSUAL
1569432609,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,8786,8786,PESOS,MENSUAL
1569432702,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4489.2,4230.77,PESOS,MENSUAL
1569432702,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,17040,17040,PESOS,MENSUAL
1569432705,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8909.4,8214.03,PESOS,MENSUAL
1569432799,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,19050.36,16422.37,PESOS,MENSUAL
1569432801,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8789.28,8106.98,PESOS,MENSUAL
1569432803,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,9142.34,8421.63,PESOS,MENSUAL
1569432803,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10544,10544,PESOS,MENSUAL
1569432893,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,28792.64,24044.73,PESOS,MENSUAL
1569432893,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,28164,28164,PESOS,MENSUAL
1569432893,24/06/2022,24/06/2022,ZONA GEOGRAFICA,10614.8,9682.68,PESOS,MENSUAL
1569432895,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,14583.82,12909.88,PESOS,MENSUAL
1569432898,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15375.22,13532.24,PESOS,MENSUAL
1569432982,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,22782.4,19357.24,PESOS,MENSUAL
1569432982,24/06/2022,24/06/2022,COMPLEMENTARIOS,5986.42,5609.07,PESOS,MENSUAL
1569432984,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,16794.28,14648.19,PESOS,MENSUAL
1569432984,24/06/2022,24/06/2022,COMPLEMENTARIOS,1562.18,1491.07,PESOS,MENSUAL
1569433067,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15589.58,13700.81,PESOS,MENSUAL
1569433069,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,3869.58,3650.8,PESOS,MENSUAL
1569433069,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,9833,9833,PESOS,MENSUAL
1569433152,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,15707.08,13793.21,PESOS,MENSUAL
